0	-0.000000
1	-0.019092
2	-0.031534
3	-0.032205
4	-0.020337
5	0.000000
6	0.021261
7	0.035201
8	0.036039
9	0.022817
10	-0.000000
11	-0.023987
12	-0.039833
13	-0.040910
14	-0.025986
15	0.000000
16	0.027514
17	0.045868
18	0.047302
19	0.030177
20	-0.000000
21	-0.032258
22	-0.054059
23	-0.056061
24	-0.035980
25	0.000000
26	0.038979
27	0.065811
28	0.068802
29	0.044547
30	-0.000000
31	-0.049236
32	-0.084092
33	-0.089038
34	-0.058468
35	0.000000
36	0.066821
37	0.116435
38	0.126138
39	0.085044
40	-0.000000
41	-0.103943
42	-0.189207
43	-0.216236
44	-0.155915
45	0.000000
46	0.233872
47	0.504551
48	0.756827
49	0.935489
50	1.000000
51	0.935489
52	0.756827
53	0.504551
54	0.233872
55	0.000000
56	-0.155915
57	-0.216236
58	-0.189207
59	-0.103943
60	-0.000000
61	0.085044
62	0.126138
63	0.116435
64	0.066821
65	0.000000
66	-0.058468
67	-0.089038
68	-0.084092
69	-0.049236
70	-0.000000
71	0.044547
72	0.068802
73	0.065811
74	0.038979
75	0.000000
76	-0.035980
77	-0.056061
78	-0.054059
79	-0.032258
80	-0.000000
81	0.030177
82	0.047302
83	0.045868
84	0.027514
85	0.000000
86	-0.025986
87	-0.040910
88	-0.039833
89	-0.023987
90	-0.000000
91	0.022817
92	0.036039
93	0.035201
94	0.021261
95	0.000000
96	-0.020337
97	-0.032205
98	-0.031534
99	-0.019092
100	-0.000000
